"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.577205292E0,-7.319778442E-2,8.652008057E-2,9.783355408E0
2.587191292E0,-7.185058594E-2,7.828720093E-2,9.802365875E0
2.597177292E0,-7.873626709E-2,7.918533325E-2,9.792785797E0
2.607163292E0,-7.738906860E-2,8.202941895E-2,9.796827393E0
2.617149292E0,-7.050338745E-2,8.173004150E-2,9.790989532E0
2.627135292E0,-8.083190918E-2,7.200027466E-2,9.785151672E0
2.637121292E0,-7.155120850E-2,6.421646118E-2,9.806706848E0
2.647107292E0,-7.708969116E-2,6.810836792E-2,9.788295135E0
2.657093292E0,-7.993377686E-2,7.679031372E-2,9.798623657E0
2.667079292E0,-6.721023560E-2,7.798782349E-2,9.796677704E0
2.677065292E0,-7.574249268E-2,8.173004150E-2,9.807305603E0
2.687051292E0,-7.589218140E-2,7.334747314E-2,9.790989532E0
2.697037292E0,-7.903564453E-2,7.080276489E-2,9.802365875E0
2.707024292E0,-6.810836792E-2,6.242019653E-2,9.802515564E0
2.717010292E0,-7.933502197E-2,8.637039185E-2,9.788893890E0
2.726996292E0,-8.128097534E-2,8.128097534E-2,9.789193268E0
2.736982292E0,-7.065307617E-2,8.352630615E-2,9.783804474E0
2.746968292E0,-7.155120850E-2,7.095245361E-2,9.777667236E0
2.756954292E0,-6.466552734E-2,8.367599487E-2,9.802665253E0
2.766940292E0,-7.903564453E-2,5.718109131E-2,9.808802490E0
2.776926292E0,-8.457412720E-2,7.170089722E-2,9.793983307E0
2.786912292E0,-8.457412720E-2,7.963439941E-2,9.799671478E0
2.796898292E0,-6.930587769E-2,7.170089722E-2,9.792486420E0
2.806884292E0,-8.128097534E-2,6.885681152E-2,9.803264008E0
2.816869917E0,-8.382568359E-2,7.933502197E-2,9.791438599E0
2.826855917E0,-7.499404907E-2,8.337661743E-2,9.789342957E0
2.836841917E0,-7.858657837E-2,7.424560547E-2,9.788744202E0
2.846827917E0,-7.574249268E-2,8.966354370E-2,9.800120544E0
