"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
3.426019917E0,3.319607349E-4,-2.081636339E-4,-1.228882757E-4
3.436005917E0,-5.686079385E-5,-3.543710336E-4,-1.268830092E-4
3.445991917E0,1.116052154E-3,1.549036242E-3,-1.173614059E-3
3.455978917E0,1.486764173E-3,-6.670365110E-5,-3.232667805E-4
3.465964917E0,1.923454693E-4,5.225148052E-4,2.741393982E-4
3.475950917E0,-2.252382110E-4,4.892251454E-4,-7.823365740E-4
3.485936917E0,8.790612337E-4,3.086049110E-4,-1.575067989E-3
3.495922917E0,4.154048511E-4,6.359396502E-5,4.212375497E-4
3.505908917E0,1.591237728E-3,7.647755556E-4,2.664601197E-4
3.515894917E0,-1.673797728E-3,-1.069876133E-3,4.028139520E-4
3.525880917E0,1.058177673E-3,7.320302539E-4,-3.181130160E-5
3.535866917E0,2.871926408E-4,8.087293245E-4,2.291784622E-4
3.545852917E0,9.830212221E-4,3.151544370E-4,-5.346539547E-4
3.555838917E0,-3.882404999E-4,-1.037605107E-4,7.748223725E-4
3.565824917E0,-1.044930541E-3,1.790449023E-4,-1.773496857E-3
3.575810917E0,3.226026893E-4,4.256535321E-4,-4.373888951E-4
3.585796917E0,1.664766460E-4,-1.198125305E-3,-8.846807177E-4
3.595782917E0,-5.909311585E-5,-5.387268029E-4,-5.632371758E-4
3.605769917E0,7.986269775E-4,-9.260799270E-4,-1.850921835E-4
3.615755917E0,-1.299677650E-3,3.798445687E-5,1.100149238E-3
3.625741917E0,-1.187028829E-6,1.055276953E-4,-4.020327469E-4
3.635727917E0,2.888311865E-4,-9.381650016E-4,6.182243233E-4
3.645713917E0,-3.682782699E-4,9.762239642E-4,-7.924624952E-4
3.655699917E0,4.381268518E-4,2.542412840E-4,1.565500395E-3
3.665685917E0,-9.689401486E-4,-8.060364053E-5,-8.345352253E-4
3.675671917E0,1.543812105E-4,3.657420166E-4,3.561641206E-4
3.685657917E0,-4.541925155E-4,7.380209863E-4,-1.253388822E-3
3.695643917E0,-4.296914267E-4,-2.097990364E-5,-1.268716296E-4
3.705629917E0,-7.479829947E-4,1.512182876E-3,2.716523013E-4
3.715615917E0,2.807960846E-4,-5.341900978E-4,-1.090820879E-3
3.725601917E0,7.026445819E-4,-4.089120775E-4,-6.868483033E-4
3.735587917E0,2.725441009E-4,-1.001998084E-3,4.372719559E-4
3.745573917E0,2.695404110E-4,1.029333565E-3,-8.510437328E-4
3.755559917E0,-2.713571303E-5,-4.311439116E-4,-9.322701371E-4
