"Time (s)","Gravity X (m/s^2)","Gravity Y (m/s^2)","Gravity Z (m/s^2)"
2.617149292E0,-7.701851045E-2,8.171805471E-2,9.809357391E0
2.627135292E0,-7.702470484E-2,8.171860289E-2,9.809357391E0
2.637121292E0,-7.697271030E-2,8.176175351E-2,9.809357391E0
2.647107292E0,-7.694387622E-2,8.178609255E-2,9.809357391E0
2.657093292E0,-7.689932775E-2,8.184542351E-2,9.809357391E0
2.667079292E0,-7.691916260E-2,8.184689445E-2,9.809356806E0
2.677065292E0,-7.694293519E-2,8.197083715E-2,9.809355637E0
2.687051292E0,-7.700377364E-2,8.194605044E-2,9.809355637E0
2.697037292E0,-7.703574146E-2,8.189962903E-2,9.809355637E0
2.707024292E0,-7.696214877E-2,8.179501869E-2,9.809356806E0
2.717010292E0,-7.689420230E-2,8.180896064E-2,9.809357391E0
2.726996292E0,-7.694972344E-2,8.172962124E-2,9.809357976E0
2.736982292E0,-7.695590870E-2,8.181114421E-2,9.809356806E0
2.746968292E0,-7.692597826E-2,8.179014905E-2,9.809357391E0
2.756954292E0,-7.693870509E-2,8.178143305E-2,9.809357391E0
2.766940292E0,-7.695699591E-2,8.179077032E-2,9.809357391E0
2.776926292E0,-7.689267654E-2,8.179874629E-2,9.809357391E0
2.786912292E0,-7.695016198E-2,8.175866545E-2,9.809357391E0
2.796898292E0,-7.692509204E-2,8.176226514E-2,9.809357391E0
2.806884292E0,-7.692441596E-2,8.180158767E-2,9.809357391E0
2.816869917E0,-7.685330833E-2,8.183175565E-2,9.809357391E0
2.826855917E0,-7.685443209E-2,8.179464410E-2,9.809357976E0
2.836841917E0,-7.686762488E-2,8.174301501E-2,9.809357976E0
2.846827917E0,-7.687308837E-2,8.169853049E-2,9.809358560E0
2.856814917E0,-7.688111915E-2,8.170403053E-2,9.809358560E0
2.866800917E0,-7.691018164E-2,8.175905831E-2,9.809357976E0
2.876786917E0,-7.687221128E-2,8.171335867E-2,9.809358560E0
2.886772917E0,-7.690137427E-2,8.172344511E-2,9.809357976E0
2.896758917E0,-7.691013596E-2,8.178238322E-2,9.809357391E0
2.906744917E0,-7.691401888E-2,8.178512410E-2,9.809357391E0
2.916730917E0,-7.700234838E-2,8.179083427E-2,9.809356806E0
2.926716917E0,-7.692352060E-2,8.182629216E-2,9.809357391E0
2.936702917E0,-7.696467038E-2,8.187532654E-2,9.809356222E0
2.946688917E0,-7.692350233E-2,8.190959671E-2,9.809356222E0
2.956674917E0,-7.694948589E-2,8.179630690E-2,9.809357391E0
2.966660917E0,-7.703509279E-2,8.171529556E-2,9.809357391E0
2.976646917E0,-7.700339905E-2,8.162079907E-2,9.809357976E0
2.986632917E0,-7.696562055E-2,8.161779324E-2,9.809358560E0
2.996618917E0,-7.691685112E-2,8.172660626E-2,9.809357976E0
3.006605917E0,-7.688799877E-2,8.173316611E-2,9.809357976E0
3.016591917E0,-7.679363932E-2,8.178823957E-2,9.809358560E0
3.026577917E0,-7.683377498E-2,8.180271143E-2,9.809357976E0
3.036563917E0,-7.688612583E-2,8.189183579E-2,9.809356806E0
3.046549917E0,-7.693545258E-2,8.190583256E-2,9.809356222E0
3.056535917E0,-7.693205388E-2,8.180988341E-2,9.809357391E0
3.066521917E0,-7.683348262E-2,8.177150192E-2,9.809358560E0
3.076507917E0,-7.679464431E-2,8.177460825E-2,9.809358560E0
3.086493917E0,-7.678228294E-2,8.176739059E-2,9.809358560E0
3.096479917E0,-7.667711528E-2,8.183972248E-2,9.809359145E0
3.106465917E0,-7.668069670E-2,8.181065999E-2,9.809359145E0
3.116451917E0,-7.665216411E-2,8.174247597E-2,9.809359730E0
3.126437917E0,-7.669039029E-2,8.169745241E-2,9.809360315E0
3.136423917E0,-7.662089978E-2,8.167098463E-2,9.809360899E0
3.146410917E0,-7.657477530E-2,8.167969150E-2,9.809360899E0
3.156396917E0,-7.656758962E-2,8.164476352E-2,9.809361484E0
3.166382917E0,-7.659070896E-2,8.159510787E-2,9.809361484E0
3.176368917E0,-7.657118931E-2,8.152754512E-2,9.809362653E0
3.186354917E0,-7.650051109E-2,8.144496233E-2,9.809363823E0
3.196340917E0,-7.647506200E-2,8.138300925E-2,9.809364408E0
3.206326917E0,-7.655901980E-2,8.137357148E-2,9.809363823E0
3.216312917E0,-7.656295753E-2,8.138438883E-2,9.809363823E0
3.226298917E0,-7.661217921E-2,8.134568757E-2,9.809363823E0
3.236284917E0,-7.656960417E-2,8.132451883E-2,9.809363823E0
3.246270917E0,-7.658656566E-2,8.139438392E-2,9.809363238E0
3.256256917E0,-7.654043205E-2,8.135665110E-2,9.809363823E0
3.266242917E0,-7.658643776E-2,8.126063799E-2,9.809364408E0
3.276228917E0,-7.659411223E-2,8.120162680E-2,9.809364992E0
3.286214917E0,-7.656522333E-2,8.121274564E-2,9.809364992E0
3.296201917E0,-7.650647708E-2,8.124487792E-2,9.809364992E0
3.306187917E0,-7.647390626E-2,8.121825482E-2,9.809365577E0
3.316173917E0,-7.646870772E-2,8.122958380E-2,9.809365577E0
3.326159917E0,-7.637345293E-2,8.129726532E-2,9.809365577E0
3.336145917E0,-7.635760149E-2,8.131485265E-2,9.809365577E0
3.346131917E0,-7.641101215E-2,8.130222632E-2,9.809365577E0
3.356117917E0,-7.640626129E-2,8.135030139E-2,9.809364992E0
3.366103917E0,-7.636708951E-2,8.139513309E-2,9.809364992E0
3.376089917E0,-7.633041651E-2,8.142530107E-2,9.809364992E0
3.386075917E0,-7.636612563E-2,8.139316879E-2,9.809364992E0
3.396061917E0,-7.626682804E-2,8.133980381E-2,9.809366162E0
3.406047917E0,-7.620868478E-2,8.135503398E-2,9.809366747E0
3.416033917E0,-7.627818899E-2,8.137104987E-2,9.809366162E0
3.426019917E0,-7.627380815E-2,8.132848397E-2,9.809366162E0
3.436005917E0,-7.627567652E-2,8.135992189E-2,9.809366162E0
3.445991917E0,-7.625802067E-2,8.140937654E-2,9.809365577E0
3.455978917E0,-7.630157785E-2,8.140973286E-2,9.809365577E0
3.465964917E0,-7.633196054E-2,8.145366007E-2,9.809364992E0
